"dte","collectionid","collectionname","marketcupusd"
2022-01-07,504,BoredApeYachtClub,6378979.8977
2022-01-08,1,MutantApeYachtClub,4173828.1832001386
2022-01-08,504,BoredApeYachtClub,4759655.24
2022-01-09,1,MutantApeYachtClub,5493212.40776475
2022-01-09,504,BoredApeYachtClub,14951313.24
2022-01-10,1,MutantApeYachtClub,6234468.4747
2022-01-10,504,BoredApeYachtClub,9079285.04
2022-01-11,1,MutantApeYachtClub,5135709.510528
2022-01-11,504,BoredApeYachtClub,5901134.5600000005
2022-01-12,1,MutantApeYachtClub,4253597.701299999
2022-01-12,504,BoredApeYachtClub,7174504.6
2022-01-13,1,MutantApeYachtClub,3733813.6103942506
2022-01-13,504,BoredApeYachtClub,5541913.0
2022-01-14,1,MutantApeYachtClub,3451508.954691
2022-01-14,504,BoredApeYachtClub,5363776.35
2022-01-15,1,MutantApeYachtClub,6894707.5453125
2022-01-15,504,BoredApeYachtClub,12139703.71
2022-01-16,1,MutantApeYachtClub,4288845.027392001
2022-01-16,504,BoredApeYachtClub,8870505.590000002
2022-01-17,1,MutantApeYachtClub,6434097.105414749
2022-01-17,504,BoredApeYachtClub,4169874.7820000006
2022-01-18,1,MutantApeYachtClub,5083771.20520375
2022-01-18,504,BoredApeYachtClub,5635906.8
2022-01-19,1,MutantApeYachtClub,4074850.4071
2022-01-19,504,BoredApeYachtClub,4459114.34
2022-01-20,1,MutantApeYachtClub,9354892.861450003
2022-01-20,504,BoredApeYachtClub,9901065.24
2022-01-21,1,MutantApeYachtClub,5408314.3661
2022-01-21,504,BoredApeYachtClub,7047729.51
2022-01-22,1,MutantApeYachtClub,2672533.656000001
2022-01-22,504,BoredApeYachtClub,6170757.228100001
2022-01-23,1,MutantApeYachtClub,3232597.2370000007
2022-01-23,504,BoredApeYachtClub,5139123.680000001
2022-01-24,1,MutantApeYachtClub,2784601.5385900005
2022-01-24,504,BoredApeYachtClub,6349207.715999999
2022-01-25,1,MutantApeYachtClub,11322105.757312244
2022-01-25,504,BoredApeYachtClub,11331734.7427
2022-01-26,1,MutantApeYachtClub,13232606.989369994
2022-01-26,504,BoredApeYachtClub,8301700.698000002
2022-01-27,1,MutantApeYachtClub,4816757.118531
2022-01-27,504,BoredApeYachtClub,9575260.108700002
2022-01-28,1,MutantApeYachtClub,5099463.209999999
2022-01-28,504,BoredApeYachtClub,14116042.1933
2022-01-29,1,MutantApeYachtClub,9957427.331014266
2022-01-29,504,BoredApeYachtClub,16881073.264300004
2022-01-30,1,MutantApeYachtClub,19815766.8568
2022-01-30,504,BoredApeYachtClub,23931590.5687
2022-01-31,1,MutantApeYachtClub,19774827.6396165
2022-01-31,504,BoredApeYachtClub,33211559.422700003
2022-02-01,1,MutantApeYachtClub,7484654.8666
2022-02-01,504,BoredApeYachtClub,11312476.940000001
2022-02-02,1,MutantApeYachtClub,5023111.499
2022-02-02,504,BoredApeYachtClub,4604384.04
2022-02-03,1,MutantApeYachtClub,5312157.919400001
2022-02-03,504,BoredApeYachtClub,6248914.91
2022-02-04,1,MutantApeYachtClub,3921798.29997058
2022-02-04,504,BoredApeYachtClub,8233265.944
2022-02-05,1,MutantApeYachtClub,2902301.5400000005
2022-02-05,504,BoredApeYachtClub,5929664.840000001
2022-02-06,1,MutantApeYachtClub,2902019.5819999995
2022-02-06,504,BoredApeYachtClub,5304844.930000001
2022-02-07,1,MutantApeYachtClub,4199132.764000001
